ID,Title,Description,Brand/Type,Price (NOK),URL,Image
465106198,Hanse 370 selgest  Ny pris 830000,Hanse 370 selgest  Ny pris 830000,Hanse Seilbåt/Motorseiler,830000,https://www.finn.no/mobility/item/465106198,https://images.finncdn.no/dynamic/default/item/465106198/4f8b84e3-fdeb-40af-b363-4609eccd8e43
322309869,Dufour GibSea 33,Dufour GibSea 33,Dufour Seilbåt/Motorseiler,450000,https://www.finn.no/mobility/item/322309869,https://images.finncdn.no/dynamic/default/item/322309869/42f3cef7-291d-4f35-8537-3849cc02cbe7
467609359,Ferieklar Hanse 370 - 2006mod,Ferieklar Hanse 370 - 2006mod,Hanse Seilbåt/Motorseiler,850000,https://www.finn.no/mobility/item/467609359,https://images.finncdn.no/dynamic/default/item/467609359/a3524de5-f496-4033-a25d-da5d806e9fb0
429586671,Beneteau Oceanis 361 Clipper,Beneteau Oceanis 361 Clipper,Beneteau Seilbåt/Motorseiler,590000,https://www.finn.no/mobility/item/429586671,https://images.finncdn.no/dynamic/default/item/429586671/8ef5c3b7-3eb3-4189-8e98-bf6f4909ee4a
465272774,"Strøken Bavaria 38 , klar til sommeren","Strøken Bavaria 38 , klar til sommeren",Bavaria Seilbåt/Motorseiler,739000,https://www.finn.no/mobility/item/465272774,https://images.finncdn.no/dynamic/default/item/465272774/c01c1621-cc19-4869-a27b-20623c3f7406
468306416,Puzzle 36 selges Gi bud,Puzzle 36 selges Gi bud,Andre Seilbåt/Motorseiler,250000,https://www.finn.no/mobility/item/468306416,https://images.finncdn.no/dynamic/default/item/468306416/19828b64-2ee3-405a-b228-8004e73f5973
469303028,Ansø 42 Stålskrog,Ansø 42 Stålskrog,Andre Seilbåt/Motorseiler,340000,https://www.finn.no/mobility/item/469303028,https://images.finncdn.no/dynamic/default/item/469303028/44e41b39-7364-4d69-b4fc-8c57c9b66c0a
418294463,Bavaria 39 Cruiser,Bavaria 39 Cruiser,Bavaria Seilbåt/Motorseiler,820000,https://www.finn.no/mobility/item/418294463,https://images.finncdn.no/dynamic/default/23/2330c8da-5151-4e88-8ac3-7f94884d5af9
468929173,Flott turbåt og flytende bolig  på Aker Brygge,Flott turbåt og flytende bolig  på Aker Brygge,Bavaria Seilbåt/Motorseiler,685000,https://www.finn.no/mobility/item/468929173,https://images.finncdn.no/dynamic/default/item/468929173/1f38e762-9d87-49bf-b0e5-28419dd5066a
359890143,Formosa 36 seilbåt,Formosa 36 seilbåt,Formosa Seilbåt/Motorseiler,290000,https://www.finn.no/mobility/item/359890143,https://images.finncdn.no/dynamic/default/2024/7/vertical-0/05/3/359/890/143_fe01fb5c-9180-4674-936a-b21353283291.jpg
468874240,Unik italiensk seilbåt,Unik italiensk seilbåt,Trapper Seilbåt/Motorseiler,539000,https://www.finn.no/mobility/item/468874240,https://images.finncdn.no/dynamic/default/item/468874240/74fde302-3fa8-4efa-a2e8-5acd5cef3a59
469240629,Hunter 340 – 1998 | Ny cockpitkalesje | Vårpuss 2026 gjort,Hunter 340 – 1998 | Ny cockpitkalesje | Vårpuss 2026 gjort,Hunter Seilbåt/Motorseiler,430000,https://www.finn.no/mobility/item/469240629,https://images.finncdn.no/dynamic/default/item/469240629/4641546d-8829-4990-b263-f4848fad4c54
469442380,"Nordship 35 DS, Oppgradert båt!","Nordship 35 DS, Oppgradert båt!",Nordship Seilbåt/Motorseiler,850000,https://www.finn.no/mobility/item/469442380,https://images.finncdn.no/dynamic/default/item/469442380/b43f3099-f118-42c9-bd93-74e18817ca53
464680334,X-yachts IMX-38 - NY PRIS,X-yachts IMX-38 - NY PRIS,X-Yachts Seilbåt/Motorseiler,150000,https://www.finn.no/mobility/item/464680334,https://images.finncdn.no/dynamic/default/item/464680334/0e6adab0-0970-47e3-b7fd-0e952c51891e
469422297,Skipsregistrert Bavaria seilbåt med tre kabiner,Skipsregistrert Bavaria seilbåt med tre kabiner,Bavaria Seilbåt/Motorseiler,330000,https://www.finn.no/mobility/item/469422297,https://images.finncdn.no/dynamic/default/item/469422297/511d49d0-841e-4183-9236-d30fde0a988f
356148233,Nauticat 36,Nauticat 36,Nauticat Seilbåt/Motorseiler,500000,https://www.finn.no/mobility/item/356148233,https://images.finncdn.no/dynamic/default/2024/6/vertical-0/07/3/356/148/233_eaf92f12-d6ba-4d65-99e0-836713a0382c.jpg
373777525,Kingscruiser 33,Kingscruiser 33,Andre Seilbåt/Motorseiler,180000,https://www.finn.no/mobility/item/373777525,https://images.finncdn.no/dynamic/default/item/373777525/8afa6703-7432-4176-af24-1e580dba1b33
463582826,Beneteau First 35s5 med nytt Orca/B&G system,Beneteau First 35s5 med nytt Orca/B&G system,Beneteau Seilbåt/Motorseiler,270000,https://www.finn.no/mobility/item/463582826,https://images.finncdn.no/dynamic/default/item/463582826/5279d47d-e9a8-4db7-9873-39978c852876
467317125,"35 fot seilbåt i toppstand. Lett, stor, kvikk. 1 eier, komplett. Seilklar","35 fot seilbåt i toppstand. Lett, stor, kvikk. 1 eier, komplett. Seilklar",Andre Seilbåt/Motorseiler,750000,https://www.finn.no/mobility/item/467317125,https://images.finncdn.no/dynamic/default/item/467317125/6ac32fe5-4273-44b7-a642-344bef453432
469278238,Albin Nova for salg,Albin Nova for salg,Albin Seilbåt/Motorseiler,125000,https://www.finn.no/mobility/item/469278238,https://images.finncdn.no/dynamic/default/item/469278238/e1d8c321-3227-4b32-bd07-26ed21363997
468837535,"First 40,7 til leie","First 40,7 til leie",Benneteau Seilbåt/Motorseiler,35000,https://www.finn.no/mobility/item/468837535,https://images.finncdn.no/dynamic/default/item/468837535/db5d6294-d9fc-4b83-866c-4688c7abb9c1
469221017,Seilbàt project,Seilbàt project,Långedrag Seilbåt/Motorseiler,250000,https://www.finn.no/mobility/item/469221017,https://images.finncdn.no/dynamic/default/item/469221017/58394c4a-86b0-4d7b-87d8-f737edf5d2f5
401634640,Dufour GibSea 33,Dufour GibSea 33,Dufour Seilbåt/Motorseiler,450000,https://www.finn.no/mobility/item/401634640,https://images.finncdn.no/dynamic/default/20/2017bc4e-f4fa-4860-9644-4818dc91498b
467177607,Dufour 385 Grand Large selges - visning 21.7. - kontakt: sms 92027940,Dufour 385 Grand Large selges - visning 21.7. - kontakt: sms 92027940,Dufour Seilbåt/Motorseiler,825000,https://www.finn.no/mobility/item/467177607,https://images.finncdn.no/dynamic/default/item/467177607/3bc45c74-7b6f-4f8e-a5c9-0ecd8fa77809
469164635,Bavaria 41 til salgs i Hellas (Andel),Bavaria 41 til salgs i Hellas (Andel),Bavaria Seilbåt/Motorseiler,179000,https://www.finn.no/mobility/item/469164635,https://images.finncdn.no/dynamic/default/item/469164635/a8773ea0-5318-4b47-b711-bd0f4201d667
353061279,Bavaria 36 Cruiser,Bavaria 36 Cruiser,Bavaria Seilbåt/Motorseiler,495000,https://www.finn.no/mobility/item/353061279,https://images.finncdn.no/dynamic/default/item/353061279/a045af23-26f3-4a85-a8c7-92100de72ddf
468576194,Bavaria 33 Cruiser,Bavaria 33 Cruiser,Bavaria Seilbåt/Motorseiler,680000,https://www.finn.no/mobility/item/468576194,https://images.finncdn.no/dynamic/default/item/468576194/06b34b1b-99b5-4276-ab45-cc16f6d26eab
